=== economy-table07.xlsx ===
Cell A1 | value='Table 2: Individual insolvency rolling 12-month rate per 10,000 adults, England and Wales, not seasonally adjusted, 1 January 2012 to 30 June 2022 [p][note 6][note 7]' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell A2 | value='Back to contents' | fill=FF00B0F0 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B2 | value='Contents!A1' | fill=00000000 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A3 | value='This worksheet contains one table. Some cells refer to notes which can be found in the Notes worksheet.' | fill=FF00B0F0 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A4 | value='Some shorthand is used in this table, [r] = revised, [p] = provisional. See Notes worksheet for further details.' | fill=FF00B0F0 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A5 | value='Sources: Insolvency Service, Office for National Statistics (population estimates)' | fill=FF00B0F0 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A6 | value='Year' | fill=FFFFFF00 | rows=[5] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B6 | value='Quarter' | fill=FFFFFF00 | rows=[5] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C6 | value='Total individual insolvencies' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='Column1' | fill=FFFFFF00 | rows=[5] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E6 | value='Bankruptcies  [note 2][note 3]' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='r_bankruptcies' | fill=FFFFFF00 | rows=[5] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G6 | value='Debt relief orders [note 5]' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='r_dros' | fill=FFFFFF00 | rows=[5] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I6 | value='Individual voluntary arrangements' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
