=== economy-table08.xlsx ===
Cell A1 | value='Year' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='Quarter' | fill=FFFFFF00 | rows=[0] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C1 | value='Total bankruptcies [note 8]' | fill=00000000 | rows=[0] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1 | value='r_total_bankruptcies' | fill=FFFFFF00 | rows=[0] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E1 | value='Creditors' petitions [note 2]' | fill=00000000 | rows=[0] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F1 | value='r_creditor' | fill=FFFFFF00 | rows=[0] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G1 | value='Debtors' applications [note 3]' | fill=00000000 | rows=[0] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H1 | value='r_debtor' | fill=FFFFFF00 | rows=[0] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell A2 | value='2012' | fill=00000000 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C2 | value='31776' | fill=00000000 | rows=[1] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D2 | value='[r]' | fill=00000000 | rows=[1] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E2 | value='6591' | fill=00000000 | rows=[1] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G2 | value='25185' | fill=00000000 | rows=[1] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H2 | value='[r]' | fill=00000000 | rows=[1] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A3 | value='2013' | fill=00000000 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C3 | value='24565' | fill=00000000 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E3 | value='5377' | fill=00000000 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G3 | value='19188' | fill=00000000 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A4 | value='2014' | fill=00000000 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C4 | value='20339' | fill=00000000 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E4 | value='4783' | fill=00000000 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
