=== economy-table10.xlsx ===
Cell A1 | value='Table 4a: Bankruptcies by employment status, England and Wales, seasonally adjusted, 1 January 2012 to 30 June 2022 [p][note 1][note 2][note 3][note 9]' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell A2 | value='Back to contents' | fill=FF00B0F0 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B2 | value='Contents!A1' | fill=00000000 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A3 | value='This worksheet contains one table. Some cells refer to notes which can be found in the Notes worksheet.' | fill=FF00B0F0 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A4 | value='Some shorthand is used in this table, [x] = not yet available, [r] = revised, [p] = provisional. See Notes worksheet for further details.' | fill=FF00B0F0 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A5 | value='Source: Insolvency Service' | fill=FF00B0F0 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A6 | value='Year' | fill=FFFFFF00 | rows=[5] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B6 | value='Quarter' | fill=FFFFFF00 | rows=[5] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C6 | value='Total bankruptcies [note 10]' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='r_total_bankruptcies' | fill=FFFFFF00 | rows=[5] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E6 | value='Self-employed (or trader) bankruptcies [note 11]' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='r_self_emp' | fill=FFFFFF00 | rows=[5] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G6 | value='Other individuals [note 11]' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='r_other' | fill=FFFFFF00 | rows=[5] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell A7 | value='2012' | fill=00000000 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=False
