=== economy-table127.xlsx ===
Cell A1 | value='Showroom:' | fill=FF00B050 | rows=[0] | cols=[0, 1, 2] | col_header=True | row_header=True | metadata=False
Cell D1 | value='Metropolitan' | fill=00000000 | rows=[0] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell A2 | value='Date :' | fill=FF00B050 | rows=[1] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D2 | value='2014-09-02 00:00:00' | fill=00000000 | rows=[1] | cols=[3, 4, 5] | col_header=False | row_header=False | metadata=False
Cell A3 | value='Year' | fill=FFFFFF00 | rows=[2, 3] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B3 | value='Q1' | fill=00000000 | rows=[2] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='Q2' | fill=00000000 | rows=[2] | cols=[4, 5, 6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='Q3' | fill=00000000 | rows=[2] | cols=[7, 8, 9] | col_header=False | row_header=False | metadata=False
Cell B4 | value='Budget' | fill=FFFFFF00 | rows=[3] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C4 | value='Actual' | fill=FFFFFF00 | rows=[3] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D4 | value='Growth' | fill=FFFFFF00 | rows=[3] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E4 | value='Budget' | fill=FFFFFF00 | rows=[3] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F4 | value='Actual' | fill=FFFFFF00 | rows=[3] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G4 | value='Growth' | fill=FFFFFF00 | rows=[3] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H4 | value='Budget' | fill=FFFFFF00 | rows=[3] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I4 | value='Actual' | fill=FFFFFF00 | rows=[3] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J4 | value='Growth' | fill=FFFFFF00 | rows=[3] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell A5 | value='DEC 2011' | fill=00000000 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='250' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='247' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='-3' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='152' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='170' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='18' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='222' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='247' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='25' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A6 | value='DEC 2012' | fill=00000000 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='332' | fill=00000000 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
