=== economy-table13.xlsx ===
Cell B1 | value='East Midlands' | fill=9 | rows=[0] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D1 | value='East of England' | fill=9 | rows=[0] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell F1 | value='London' | fill=9 | rows=[0] | cols=[5, 6] | col_header=False | row_header=False | metadata=False
Cell H1 | value='North East' | fill=9 | rows=[0] | cols=[7, 8] | col_header=False | row_header=False | metadata=False
Cell J1 | value='North West' | fill=9 | rows=[0] | cols=[9, 10] | col_header=False | row_header=False | metadata=False
Cell L1 | value='South East' | fill=9 | rows=[0] | cols=[11, 12] | col_header=False | row_header=False | metadata=False
Cell N1 | value='South West' | fill=9 | rows=[0] | cols=[13, 14] | col_header=False | row_header=False | metadata=False
Cell P1 | value='West Midlands' | fill=9 | rows=[0] | cols=[15, 16] | col_header=False | row_header=False | metadata=False
Cell R1 | value='Yorkshire and the Humber' | fill=9 | rows=[0] | cols=[17, 18] | col_header=False | row_header=False | metadata=False
Cell T1 | value='England' | fill=9 | rows=[0] | cols=[19, 20] | col_header=False | row_header=False | metadata=False
Cell A2 | value='Sector' | fill=FFFFFF00 | rows=[1] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B2 | value='Births' | fill=FFFFFF00 | rows=[1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='2009 Stock' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='Births' | fill=FFFFFF00 | rows=[1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E2 | value='2009 Stock' | fill=FFFFFF00 | rows=[1] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F2 | value='Births' | fill=FFFFFF00 | rows=[1] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='2009 Stock' | fill=FFFFFF00 | rows=[1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='Births' | fill=FFFFFF00 | rows=[1] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='2009 Stock' | fill=FFFFFF00 | rows=[1] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J2 | value='Births' | fill=FFFFFF00 | rows=[1] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K2 | value='2009 Stock' | fill=FFFFFF00 | rows=[1] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L2 | value='Births' | fill=FFFFFF00 | rows=[1] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M2 | value='2009 Stock' | fill=FFFFFF00 | rows=[1] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N2 | value='Births' | fill=FFFFFF00 | rows=[1] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O2 | value='2009 Stock' | fill=FFFFFF00 | rows=[1] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P2 | value='Births' | fill=FFFFFF00 | rows=[1] | cols=[15] | col_header=True | row_header=False | metadata=False
