=== economy-table132.xlsx ===
Cell B1 | value='Table 1C. Chained Consumer Price Index for All Urban Consumers (C-CPI-U): U.S. city average, by expenditure category and commodity and service group' | fill=FF00B0F0 | rows=[0] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B2 | value='[December 1999=100, unless otherwise noted]' | fill=FF00B0F0 | rows=[1] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell A4 | value='Indent Level' | fill=FFFFFF00 | rows=[3] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B4 | value='Item and group' | fill=FFFFFF00 | rows=[3] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C4 | value='Relative importance 2022' | fill=FFFFFF00 | rows=[3] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D4 | value='Unadjusted indexes' | fill=FFFFFF00 | rows=[3] | cols=[3, 4] | col_header=True | row_header=False | metadata=False
Cell F4 | value='Unadjusted
percent change to
Jan. 2024 from--' | fill=FFFFFF00 | rows=[3] | cols=[5, 6] | col_header=True | row_header=False | metadata=False
Cell D5 | value='Dec.
2024' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='Jan.
2024' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='Jan.
2023' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='Dec.
2024' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A8 | value='0' | fill=00000000 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Expenditure category' | fill=00000000 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A9 | value='0' | fill=00000000 | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B9 | value='All items' | fill=00000000 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='100' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='171.015' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='171.91' | fill=00000000 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='2.8' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='0.5' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A10 | value='1' | fill=00000000 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='Food and beverages' | fill=00000000 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='14.166' | fill=00000000 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='185.095' | fill=00000000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='186.148' | fill=00000000 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='2.5' | fill=00000000 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='0.6' | fill=00000000 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A11 | value='2' | fill=00000000 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=False
