=== economy-table15.xlsx ===
Cell A1 | value='Number of tables on this sheet:' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell B1 | value='5' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell A3 | value='Turnover per head in the sports sector' | fill=FF00B0F0 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell E3 | value='Key: N/A = Not applicable, no business activity in this location' | fill=FF00B0F0 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell A4 | value='Data owner:' | fill=FF00B050 | rows=[3] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B4 | value='Office of National Statistics' | fill=9 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A5 | value='Link to data owner:' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B5 | value='http://www.ons.gov.uk' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Data source:' | fill=FF00B050 | rows=[5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B6 | value='Inter Departmental Business Register (IDBR)' | fill=9 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Link to data source:' | fill=FF00B050 | rows=[6] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='http://www.statistics.gov.uk/idbr/' | fill=00000000 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Date:' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B8 | value='2009, 2008, 2007, 2006, 2005' | fill=9 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A9 | value='Update cycle:' | fill=FF00B050 | rows=[8] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B9 | value='Continuously through the year' | fill=9 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
