=== economy-table17.xlsx ===
Cell A1 | value='BUSINESS PLAN QUARTERLY DATA SUMMARY - JULY 2012' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13] | col_header=True | row_header=True | metadata=True
Cell A3 | value='SPENDING' | fill=FF00B0F0 | rows=[2] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9] | col_header=False | row_header=False | metadata=True
Cell L3 | value='RESULTS' | fill=FF00B0F0 | rows=[2] | cols=[11, 12, 13] | col_header=False | row_header=False | metadata=True
Cell P3 | value='PEOPLE' | fill=FF00B0F0 | rows=[2] | cols=[15, 16, 17, 18] | col_header=False | row_header=False | metadata=True
Cell A5 | value='Budget' | fill=FFFFFF00 | rows=[4] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell D5 | value='£million' | fill=31 | rows=[4] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell G5 | value='Common Areas of Spend' | fill=FFFFFF00 | rows=[4] | cols=[6, 7] | col_header=True | row_header=False | metadata=False
Cell I5 | value='Q4 2011-12' | fill=31 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='Q3 2011-12' | fill=31 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L5 | value='Input Indicators' | fill=00000000 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='Current' | fill=FFFFFF00 | rows=[4] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N5 | value='Previous' | fill=FFFFFF00 | rows=[4] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell P5 | value='Whole Department Family - Workforce Size' | fill=FFFFFF00 | rows=[4] | cols=[15, 16] | col_header=True | row_header=False | metadata=False
Cell R5 | value='Current' | fill=FFFFFF00 | rows=[4] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S5 | value='Previous' | fill=FFFFFF00 | rows=[4] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell D7 | value='Q4 2011-12' | fill=31 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='Q4 2010-11' | fill=31 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G7 | value='Estate Costs' | fill=31 | rows=[6, 7, 8, 9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='Total office estate (m2)' | fill=31 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='256858' | fill=None | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='268884' | fill=None | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L7 | value='1 Cost per head of population of total police force cost (£, current = 2011-12, previous = 2010-11)' | fill=31 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='198' | fill=None | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='206' | fill=None | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P7 | value='Payroll Staff
[Total full-time equivalent by]
(current = at 31 Mar 2012, previous = at 31 Dec 2011)' | fill=31 | rows=[6, 7, 8] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='Department and Agencies' | fill=31 | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='24645' | fill=None | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S7 | value='24844' | fill=None | rows=[6] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Total Departmental Expenditure Limit (DEL)' | fill=31 | rows=[7] | cols=[0, 1, 2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='2731.581' | fill=None | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='2557.4' | fill=None | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H8 | value='Total cost of office estate (£million)' | fill=31 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='31.12' | fill=None | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='Not applicable' | fill=None | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L8 | value='2 Cost per case of managing a drug misusing offender into treatment and recovery (£, current = 2011-12, previous = 2010-11)' | fill=31 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='2921' | fill=None | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='3063' | fill=None | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='Non-departmental public bodies' | fill=31 | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='6075' | fill=None | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S8 | value='6121' | fill=None | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A9 | value='of which Resource DEL (excl. Depreciation)' | fill=31 | rows=[8] | cols=[0, 1, 2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='2508.698' | fill=None | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='2305.6' | fill=None | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H9 | value='Cost per FTE (£)' | fill=31 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='1515' | fill=None | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='Not applicable' | fill=None | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L9 | value='3 Cost per passenger processed at the UK border (£, current = 2011-12, previous = 2010-11)' | fill=31 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='2.87' | fill=None | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
