=== economy-table28.xlsx ===
Cell B1 | value='Fossil Fuel Support - Netherlands' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B2 | value='Combined unit of measure: Euro' | fill=FF00B0F0 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B4 | value='Time period' | fill=FF00B050 | rows=[3] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=True | metadata=False
Cell H4 | value='2010' | fill=FF0549AB | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='2011' | fill=FF0549AB | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='2012' | fill=FF0549AB | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='2013' | fill=FF0549AB | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='2014' | fill=FF0549AB | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='2015' | fill=FF0549AB | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='2016' | fill=FF0549AB | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O4 | value='2017' | fill=FF0549AB | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P4 | value='2018' | fill=FF0549AB | rows=[3] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q4 | value='2019' | fill=FF0549AB | rows=[3] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R4 | value='2020' | fill=FF0549AB | rows=[3] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S4 | value='2021' | fill=FF0549AB | rows=[3] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T4 | value='2022' | fill=FF0549AB | rows=[3] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U4 | value='2023' | fill=FF0549AB | rows=[3] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Instrument' | fill=FFFFFF00 | rows=[4] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C5 | value='Beneficiary' | fill=FFFFFF00 | rows=[4] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D5 | value='Stage' | fill=FFFFFF00 | rows=[4] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E5 | value='Fuel type' | fill=FFFFFF00 | rows=[4] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F5 | value='Institutional sector' | fill=FFFFFF00 | rows=[4] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell B6 | value='Support mechanism: Tax expenditure' | fill=00000000 | rows=[5] | cols=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19] | col_header=False | row_header=False | metadata=False
Cell B7 | value='Reduced Energy Tax Rate for Glasshouse Horticulture' | fill=FFE2F2FB | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='Total' | fill=FFE2F2FB | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Reduced Energy Tax Rate for Glasshouse Horticulture' | fill=FFE2F2FB | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='·  Beneficiary' | fill=FFE2F2FB | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Reduced Energy Tax Rate for Glasshouse Horticulture' | fill=FFE2F2FB | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='Use of fossil fuels in the industrial sector' | fill=FFE2F2FB | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='Natural Gas' | fill=FFE2F2FB | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='Total economy' | fill=FFE2F2FB | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B10 | value='Reduced Energy Tax Rate for Glasshouse Horticulture' | fill=FFE2F2FB | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='Use of fossil fuels in the industrial sector' | fill=FFE2F2FB | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='Natural Gas' | fill=FFE2F2FB | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='·  General government' | fill=FFE2F2FB | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Reduced Energy Tax Rate for Glasshouse Horticulture' | fill=FFE2F2FB | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='Use of fossil fuels in the industrial sector' | fill=FFE2F2FB | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
