=== economy-table29.xlsx ===
Cell B1 | value='Fossil Fuel Support - China' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B2 | value='Combined unit of measure: Chinese yuan renminbi' | fill=FF00B0F0 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B4 | value='Time period' | fill=FF00B050 | rows=[3] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=True | metadata=False
Cell H4 | value='2010' | fill=FF0549AB | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='2011' | fill=FF0549AB | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='2012' | fill=FF0549AB | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='2013' | fill=FF0549AB | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='2014' | fill=FF0549AB | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='2015' | fill=FF0549AB | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='2016' | fill=FF0549AB | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O4 | value='2017' | fill=FF0549AB | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P4 | value='2018' | fill=FF0549AB | rows=[3] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q4 | value='2019' | fill=FF0549AB | rows=[3] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R4 | value='2020' | fill=FF0549AB | rows=[3] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S4 | value='2021' | fill=FF0549AB | rows=[3] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T4 | value='2022' | fill=FF0549AB | rows=[3] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U4 | value='2023' | fill=FF0549AB | rows=[3] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Instrument' | fill=FFFFFF00 | rows=[4] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C5 | value='Beneficiary' | fill=FFFFFF00 | rows=[4] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D5 | value='Stage' | fill=FFFFFF00 | rows=[4] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E5 | value='Fuel type' | fill=FFFFFF00 | rows=[4] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F5 | value='Institutional sector' | fill=FFFFFF00 | rows=[4] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell B6 | value='Support mechanism: Tax expenditure' | fill=00000000 | rows=[5] | cols=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19] | col_header=False | row_header=False | metadata=False
Cell B7 | value='2008 Operating Subsidies to Sinopec and PetroChina' | fill=FFE2F2FB | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='Total' | fill=FFE2F2FB | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B8 | value='2008 Operating Subsidies to Sinopec and PetroChina' | fill=FFE2F2FB | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='·  Beneficiary' | fill=FFE2F2FB | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B9 | value='2008 Operating Subsidies to Sinopec and PetroChina' | fill=FFE2F2FB | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='Petroleum' | fill=FFE2F2FB | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B10 | value='2008 Operating Subsidies to Sinopec and PetroChina' | fill=FFE2F2FB | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='·  Crude Oil' | fill=FFE2F2FB | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='Total economy' | fill=FFE2F2FB | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B11 | value='2008 Operating Subsidies to Sinopec and PetroChina' | fill=FFE2F2FB | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='·  Crude Oil' | fill=FFE2F2FB | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='·  General government' | fill=FFE2F2FB | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B12 | value='2008 Operating Subsidies to Sinopec and PetroChina' | fill=FFE2F2FB | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='·  Crude Oil' | fill=FFE2F2FB | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H12 | value='..' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
