=== economy-table53.xlsx ===
Cell A1 | value='Cornwall Glass Plymouth Trade Counter' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell A3 | value='Customer Ref: Jones' | fill=FF00B0F0 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A5 | value='Product' | fill=FFFFFF00 | rows=[4, 5] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B5 | value='Quanity' | fill=FFFFFF00 | rows=[4, 5] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C5 | value='Width in mm' | fill=FFFFFF00 | rows=[4, 5] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D5 | value='X' | fill=FFFFFF00 | rows=[4, 5] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E5 | value='Height in mm' | fill=FFFFFF00 | rows=[4, 5] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F5 | value='M/2' | fill=FFFFFF00 | rows=[4, 5] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G5 | value='Price' | fill=FFFFFF00 | rows=[4, 5] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H5 | value='Corner Notch's' | fill=00000000 | rows=[4] | cols=[7, 8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='Cut - Outs' | fill=00000000 | rows=[4] | cols=[9, 10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='Holes 6 -15 mm' | fill=00000000 | rows=[4] | cols=[11, 12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='Holes 16 -38 mm' | fill=00000000 | rows=[4] | cols=[13, 14] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='Total' | fill=FFFFFF00 | rows=[4, 5] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell H6 | value='quanity' | fill=FFFFFF00 | rows=[5] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I6 | value='price' | fill=FFFFFF00 | rows=[5] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J6 | value='quanity' | fill=FFFFFF00 | rows=[5] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K6 | value='price' | fill=FFFFFF00 | rows=[5] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L6 | value='quanity' | fill=FFFFFF00 | rows=[5] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M6 | value='price' | fill=FFFFFF00 | rows=[5] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N6 | value='quanity' | fill=FFFFFF00 | rows=[5] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O6 | value='price' | fill=FFFFFF00 | rows=[5] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell A7 | value='6mm White Toughened, Lacobel, P/A/R' | fill=00000000 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='1' | fill=00000000 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='0.6' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='X' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='0.25' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='0.15' | fill=FFFFC000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='20.475' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
