=== economy-table64.xlsx ===
Cell A1 | value='60507 - Fitness Memberships' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7] | col_header=True | row_header=True | metadata=True
Cell A2 | value='2014-11-30 00:00:00' | fill=FF00B0F0 | rows=[1] | cols=[0, 1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=True
Cell A3 | value='2014-11-30 00:00:00' | fill=00000000 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell E4 | value='FEB2014' | fill=FF00B0F0 | rows=[3] | cols=[4, 5, 6, 7] | col_header=False | row_header=False | metadata=True
Cell A5 | value='Membership Type' | fill=FFFFFF00 | rows=[4] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B5 | value='Month Sold' | fill=FFFFFF00 | rows=[4] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C5 | value='Proration' | fill=FFFFFF00 | rows=[4] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D5 | value='GL Code' | fill=FFFFFF00 | rows=[4] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E5 | value='Opening Balance' | fill=FFFFFF00 | rows=[4] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F5 | value='Sold' | fill=FFFFFF00 | rows=[4] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G5 | value='Revenue' | fill=FFFFFF00 | rows=[4] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H5 | value='Closing Balance' | fill=FFFFFF00 | rows=[4] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell A6 | value='2013' | fill=6 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell A7 | value='3month' | fill=6 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='JAN' | fill=6 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='3' | fill=6 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='114003-40' | fill=6 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='0' | fill=9 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H7 | value='0' | fill=9 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A8 | value='12 month' | fill=6 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B8 | value='JAN' | fill=6 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='12' | fill=6 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='114003-40' | fill=6 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='-2.98427949019242e-13' | fill=9 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G8 | value='0' | fill=9 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='-2.98427949019242e-13' | fill=9 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A9 | value='3month' | fill=6 | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B9 | value='FEB' | fill=6 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='3' | fill=6 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='114003-40' | fill=6 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='0' | fill=9 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H9 | value='0' | fill=9 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A10 | value='12 month' | fill=6 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='FEB' | fill=6 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='12' | fill=6 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='114003-40' | fill=6 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='-2.8421709430404e-13' | fill=9 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H10 | value='-2.8421709430404e-13' | fill=9 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A11 | value='3month' | fill=6 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='MAR' | fill=6 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='3' | fill=6 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='114003-40' | fill=6 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='0' | fill=9 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H11 | value='0' | fill=9 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A12 | value='12 month' | fill=6 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='MAR' | fill=6 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='12' | fill=6 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='114003-40' | fill=6 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='0' | fill=9 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G12 | value='0' | fill=9 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='0' | fill=9 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A13 | value='3month' | fill=6 | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='APR' | fill=6 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='3' | fill=6 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='114003-40' | fill=6 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='0' | fill=9 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H13 | value='0' | fill=9 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A14 | value='12 month' | fill=6 | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B14 | value='APR' | fill=6 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='12' | fill=6 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='114003-40' | fill=6 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='0' | fill=9 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H14 | value='0' | fill=9 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A15 | value='3month' | fill=6 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='MAY' | fill=6 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='3' | fill=6 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='114003-40' | fill=6 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='0' | fill=9 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H15 | value='0' | fill=9 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A16 | value='12 month' | fill=6 | rows=[15] | cols=[0] | col_header=False | row_header=False | metadata=False
