=== economy-table72.xlsx ===
Cell A1 | value='Planned production schedule' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6] | col_header=True | row_header=True | metadata=True
Cell B2 | value='Week 1' | fill=00000000 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C2 | value='Week 2' | fill=00000000 | rows=[1] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D2 | value='Week 3' | fill=00000000 | rows=[1] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E2 | value='Week 4' | fill=00000000 | rows=[1] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F2 | value='Week 5' | fill=00000000 | rows=[1] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G2 | value='Week 6' | fill=00000000 | rows=[1] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A3 | value='Construction Team' | fill=FFFFFF00 | rows=[2] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A5 | value='Bill' | fill=00000000 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Smith' | fill=FFFFC000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D5 | value='Smith' | fill=FFFFC000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F5 | value='Bloggs' | fill=FFFFC000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B6 | value='Frankston' | fill=FFFFC000 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D6 | value='Frankston' | fill=FFFFC000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F6 | value='Melbourne' | fill=FFFFC000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B7 | value='Sold July' | fill=FFFFC000 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D7 | value='Sold July' | fill=FFFFC000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F7 | value='June' | fill=FFFFC000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B8 | value='10000' | fill=FFFFC000 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D8 | value='10000' | fill=FFFFC000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F8 | value='15000' | fill=FFFFC000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B10 | value='Jones' | fill=FFFFC000 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D10 | value='Jones' | fill=FFFFC000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Frankston' | fill=FFFFC000 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D11 | value='Frankston' | fill=FFFFC000 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B12 | value='Sold July' | fill=FFFFC000 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D12 | value='Sold July' | fill=FFFFC000 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B13 | value='8000' | fill=FFFFC000 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D13 | value='8000' | fill=FFFFC000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A16 | value='Bob' | fill=00000000 | rows=[15] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B16 | value='Bloggs' | fill=FFFFC000 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='Holligan' | fill=FFFFC000 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E16 | value='Holligan' | fill=FFFFC000 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B17 | value='Melbourne' | fill=FFFFC000 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='Myrtleford' | fill=FFFFC000 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E17 | value='Myrtleford' | fill=FFFFC000 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B18 | value='June' | fill=FFFFC000 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='Sold Feb' | fill=FFFFC000 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E18 | value='Sold Feb' | fill=FFFFC000 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B19 | value='15000' | fill=FFFFC000 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='10000' | fill=FFFFC000 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E19 | value='10000' | fill=FFFFC000 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A27 | value='John' | fill=00000000 | rows=[26] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C27 | value='Howard' | fill=FFFFC000 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E27 | value='Howard' | fill=FFFFC000 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C28 | value='Frankston' | fill=FFFFC000 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E28 | value='Frankston' | fill=FFFFC000 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C29 | value='Sold April' | fill=FFFFC000 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E29 | value='Sold April' | fill=FFFFC000 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C30 | value='12900' | fill=FFFFC000 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E30 | value='12900' | fill=FFFFC000 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A34 | value='Total planned for week' | fill=FF00B050 | rows=[33] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B34 | value='33000' | fill=00000000 | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C34 | value='22900' | fill=00000000 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='18000' | fill=00000000 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E34 | value='22900' | fill=00000000 | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F34 | value='15000' | fill=00000000 | rows=[33] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G34 | value='0' | fill=00000000 | rows=[33] | cols=[6] | col_header=False | row_header=False | metadata=False

