=== economy-table75.xlsx ===
Cell A1 | value='PRIORITY' | fill=FFFFFF00 | rows=[0] | cols=[0, 1] | col_header=True | row_header=True | metadata=False
Cell C1 | value='DESCRIPTION' | fill=FFFFFF00 | rows=[0] | cols=[2, 3, 4, 5, 6, 7] | col_header=True | row_header=False | metadata=False
Cell I1 | value='STATUS' | fill=FFFFFF00 | rows=[0] | cols=[8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell A2 | value='GLO' | fill=FFFFFF00 | rows=[1] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B2 | value='REG' | fill=FFFFFF00 | rows=[1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='REGION' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='CUSTOMER' | fill=FFFFFF00 | rows=[1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E2 | value='CITY' | fill=FFFFFF00 | rows=[1] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F2 | value='POS' | fill=FFFFFF00 | rows=[1] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='PART TYPE' | fill=FFFFFF00 | rows=[1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='Part #' | fill=FFFFFF00 | rows=[1] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='Date 1' | fill=FFFFFF00 | rows=[1] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J2 | value='Date 2' | fill=FFFFFF00 | rows=[1] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K2 | value='Date 3' | fill=FFFFFF00 | rows=[1] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L2 | value='1' | fill=00000000 | rows=[1] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M2 | value='2' | fill=00000000 | rows=[1] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N2 | value='3' | fill=00000000 | rows=[1] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O2 | value='%' | fill=FFFFFF00 | rows=[1] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P2 | value='$ Total' | fill=FFFFFF00 | rows=[1] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell A3 | value='1' | fill=00000000 | rows=[2, 3] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B3 | value='1' | fill=00000000 | rows=[2, 3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='EMEA' | fill=00000000 | rows=[2, 3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='B' | fill=00000000 | rows=[2, 3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='LONDON' | fill=00000000 | rows=[2, 3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='LTN' | fill=00000000 | rows=[2, 3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='A' | fill=00000000 | rows=[2, 3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='121' | fill=00000000 | rows=[2, 3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='2012-12-01 00:00:00' | fill=22 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='2013-05-01 00:00:00' | fill=22 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K3 | value='2013-06-01 00:00:00' | fill=22 | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='187200' | fill=00000000 | rows=[2, 3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M3 | value='0' | fill=00000000 | rows=[2, 3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N3 | value='748800' | fill=00000000 | rows=[2, 3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O3 | value='0.25' | fill=00000000 | rows=[2, 3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P3 | value='936000' | fill=00000000 | rows=[2, 3] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I4 | value='2012-12-01 00:00:00' | fill=50 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A5 | value='2' | fill=00000000 | rows=[4, 5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='1' | fill=00000000 | rows=[4, 5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='EMEA' | fill=00000000 | rows=[4, 5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='B' | fill=00000000 | rows=[4, 5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='Vilnius' | fill=00000000 | rows=[4, 5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='SD' | fill=00000000 | rows=[4, 5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='B' | fill=00000000 | rows=[4, 5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='127' | fill=00000000 | rows=[4, 5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='2012-10-01 00:00:00' | fill=22 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='2013-01-01 00:00:00' | fill=22 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='2013-03-01 00:00:00' | fill=22 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='62000' | fill=00000000 | rows=[4, 5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='346320' | fill=00000000 | rows=[4, 5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='$0' | fill=00000000 | rows=[4, 5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='1' | fill=00000000 | rows=[4, 5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='408320' | fill=00000000 | rows=[4, 5] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I6 | value='2012-10-01 00:00:00' | fill=50 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='2013-06-01 00:00:00' | fill=50 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='2013-12-01 00:00:00' | fill=FFFFC000 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A7 | value='2' | fill=00000000 | rows=[6, 7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='1' | fill=00000000 | rows=[6, 7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='EMEA' | fill=00000000 | rows=[6, 7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='B' | fill=00000000 | rows=[6, 7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='Madrid' | fill=00000000 | rows=[6, 7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='SD' | fill=00000000 | rows=[6, 7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='B' | fill=00000000 | rows=[6, 7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='512' | fill=00000000 | rows=[6, 7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='2012-11-01 00:00:00' | fill=22 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='2013-03-01 00:00:00' | fill=22 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='2013-05-01 00:00:00' | fill=22 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='93000' | fill=00000000 | rows=[6, 7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='499500' | fill=00000000 | rows=[6, 7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='$0' | fill=00000000 | rows=[6, 7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='0.5' | fill=00000000 | rows=[6, 7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='592500' | fill=00000000 | rows=[6, 7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I8 | value='2012-11-01 00:00:00' | fill=50 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A9 | value='2' | fill=00000000 | rows=[8, 9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B9 | value='1' | fill=00000000 | rows=[8, 9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='EMEA' | fill=00000000 | rows=[8, 9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='G' | fill=00000000 | rows=[8, 9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='Madrid' | fill=00000000 | rows=[8, 9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='SD' | fill=00000000 | rows=[8, 9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='A' | fill=00000000 | rows=[8, 9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='619' | fill=00000000 | rows=[8, 9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='2012-11-01 00:00:00' | fill=22 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='2013-03-01 00:00:00' | fill=22 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='2013-08-01 00:00:00' | fill=22 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='57600' | fill=00000000 | rows=[8, 9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='$0' | fill=00000000 | rows=[8, 9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='$0' | fill=00000000 | rows=[8, 9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='0.5' | fill=00000000 | rows=[8, 9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P9 | value='57600' | fill=00000000 | rows=[8, 9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I10 | value='2012-11-01 00:00:00' | fill=50 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
