=== economy-table91.xlsx ===
Cell A1 | value='Public Service Loan Forgiveness Employment Certification Forms (ECFs)' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4] | col_header=True | row_header=True | metadata=True
Cell A2 | value='Source: FedLoan Servicing' | fill=FF00B0F0 | rows=[1] | cols=[0, 1, 2, 3, 4] | col_header=False | row_header=False | metadata=True
Cell A3 | value='Through March 31, 2018' | fill=FF00B0F0 | rows=[2] | cols=[0, 1, 2, 3, 4] | col_header=False | row_header=False | metadata=True
Cell A5 | value='Calendar Year' | fill=FFFFFF00 | rows=[4] | cols=[0, 1] | col_header=True | row_header=False | metadata=False
Cell C5 | value='Total Approved ECFs' | fill=FFFFFF00 | rows=[4] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D5 | value='Total Denied ECFs' | fill=FFFFFF00 | rows=[4] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E5 | value='Cumulative PSLF Borrowers' | fill=FFFFFF00 | rows=[4] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell A6 | value='2012' | fill=00000000 | rows=[5] | cols=[0, 1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='28788' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='14643' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='25683' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A7 | value='2013' | fill=00000000 | rows=[6] | cols=[0, 1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='71083' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='27510' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='82995' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A8 | value='2014' | fill=00000000 | rows=[7] | cols=[0, 1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='147172' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='58963' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='191432' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A9 | value='2015' | fill=00000000 | rows=[8, 9, 10, 11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Q1' | fill=00000000 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='44202' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
