=== education-table04.xlsx ===
Cell A1 | value='All Ages FE and Skills – Skills for Life Participation and Achievement by Level (2007/08 to 2011/12)' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell C3 | value='Funded Learners' | fill=FFFFFF00 | rows=[2] | cols=[2, 3, 4, 5, 6, 7, 8, 9] | col_header=True | row_header=False | metadata=False
Cell A4 | value='Measure' | fill=FFFFFF00 | rows=[3, 4] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B4 | value='Level' | fill=FFFFFF00 | rows=[3, 4] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C4 | value='2007/08' | fill=9 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='2008/09' | fill=9 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='2009/10' | fill=9 | rows=[3] | cols=[4, 5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='2010/11' | fill=9 | rows=[3] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='2011/12' | fill=9 | rows=[3] | cols=[8, 9] | col_header=False | row_header=False | metadata=False
Cell C5 | value='Full Year' | fill=FFFFFF00 | rows=[4] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D5 | value='Full Year' | fill=FFFFFF00 | rows=[4] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E5 | value='Full Year' | fill=FFFFFF00 | rows=[4] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F5 | value='% change 08/09 to 09/10' | fill=FFFFFF00 | rows=[4] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G5 | value='Full Year' | fill=FFFFFF00 | rows=[4] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H5 | value='% change 09/10 to 10/11' | fill=FFFFFF00 | rows=[4] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I5 | value='Full Year' | fill=FFFFFF00 | rows=[4] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J5 | value='% change 10/11 to 11/12' | fill=FFFFFF00 | rows=[4] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell A6 | value='Participation' | fill=9 | rows=[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='Total Learners' | fill=FF00B050 | rows=[5] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C6 | value='1312100' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='1449800' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='1430600' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='-0.013' | fill=00000000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='1471300' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='0.028' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='1538300' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='0.046' | fill=00000000 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B7 | value='of which English' | fill=9 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='860200' | fill=9 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='965200' | fill=9 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='951100' | fill=9 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='-0.015' | fill=9 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='1028700' | fill=9 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
