=== education-table13.xlsx ===
Cell A1 | value='Community Learning Participation by Narrow Age Band, Gender, Learners with Learning Difficulties and/ or Disabilities and Ethnicity (2015/16 to 2018/19)' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell A3 | value='Dimension' | fill=FFFFFF00 | rows=[2] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell C3 | value='Category' | fill=FFFFFF00 | rows=[2] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D3 | value='Total' | fill=00000000 | rows=[2] | cols=[3, 4, 5, 6, 7, 8, 9, 10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='Personal and Community Development Learning' | fill=00000000 | rows=[2] | cols=[11, 12, 13, 14, 15, 16, 17, 18] | col_header=False | row_header=False | metadata=False
Cell T3 | value='Neighbourhood Learning in Deprived Communities' | fill=00000000 | rows=[2] | cols=[19, 20, 21, 22, 23, 24, 25, 26] | col_header=False | row_header=False | metadata=False
Cell AB3 | value='Family English, Maths and Language' | fill=00000000 | rows=[2] | cols=[27, 28, 29, 30, 31, 32, 33, 34] | col_header=False | row_header=False | metadata=False
Cell AJ3 | value='Wider Family Learning' | fill=00000000 | rows=[2] | cols=[35, 36, 37, 38, 39, 40, 41, 42] | col_header=False | row_header=False | metadata=False
Cell D4 | value='2015/16' | fill=00000000 | rows=[3] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='2016/17' | fill=00000000 | rows=[3] | cols=[5, 6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='2017/18' | fill=00000000 | rows=[3] | cols=[7, 8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='2018/19' | fill=00000000 | rows=[3] | cols=[9, 10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='2015/16' | fill=00000000 | rows=[3] | cols=[11, 12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='2016/17' | fill=00000000 | rows=[3] | cols=[13, 14] | col_header=False | row_header=False | metadata=False
Cell P4 | value='2017/18' | fill=00000000 | rows=[3] | cols=[15, 16] | col_header=False | row_header=False | metadata=False
Cell R4 | value='2018/19' | fill=00000000 | rows=[3] | cols=[17, 18] | col_header=False | row_header=False | metadata=False
Cell T4 | value='2015/16' | fill=00000000 | rows=[3] | cols=[19, 20] | col_header=False | row_header=False | metadata=False
Cell V4 | value='2016/17' | fill=00000000 | rows=[3] | cols=[21, 22] | col_header=False | row_header=False | metadata=False
Cell X4 | value='2017/18' | fill=00000000 | rows=[3] | cols=[23, 24] | col_header=False | row_header=False | metadata=False
Cell Z4 | value='2018/19' | fill=00000000 | rows=[3] | cols=[25, 26] | col_header=False | row_header=False | metadata=False
Cell AB4 | value='2015/16' | fill=00000000 | rows=[3] | cols=[27, 28] | col_header=False | row_header=False | metadata=False
Cell AD4 | value='2016/17' | fill=00000000 | rows=[3] | cols=[29, 30] | col_header=False | row_header=False | metadata=False
Cell AF4 | value='2017/18' | fill=00000000 | rows=[3] | cols=[31, 32] | col_header=False | row_header=False | metadata=False
Cell AH4 | value='2018/19' | fill=00000000 | rows=[3] | cols=[33, 34] | col_header=False | row_header=False | metadata=False
Cell AJ4 | value='2015/16' | fill=00000000 | rows=[3] | cols=[35, 36] | col_header=False | row_header=False | metadata=False
Cell AL4 | value='2016/17' | fill=00000000 | rows=[3] | cols=[37, 38] | col_header=False | row_header=False | metadata=False
Cell AN4 | value='2017/18' | fill=00000000 | rows=[3] | cols=[39, 40] | col_header=False | row_header=False | metadata=False
