=== education-table14.xlsx ===
Cell B1 | value='Unemployment rates of tertiary-educated adults, by field of study, tertiary educational attainment, age group and gender' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B2 | value='Age: From 25 to 64 years' | fill=FF00B0F0 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B3 | value='Educational attainment level: Tertiary education' | fill=FF00B0F0 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B4 | value='Measure: Unemployment rate' | fill=FF00B0F0 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B5 | value='Education status: In education or not in education' | fill=FF00B0F0 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B6 | value='Statistical operation: Observed' | fill=FF00B0F0 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B7 | value='Frequency of observation: Triennial' | fill=FF00B0F0 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B8 | value='Combined unit of measure: Percentage of labour force in the same subgroup' | fill=FF00B0F0 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B10 | value='Field of education' | fill=FF00B050 | rows=[9] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D10 | value='Education (broad field level)' | fill=00000000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='Arts and humanities' | fill=00000000 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='Social sciences, journalism and information' | fill=00000000 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='Business, administration and law' | fill=00000000 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='Natural sciences, mathematics and statistics' | fill=00000000 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='Information and Communication Technologies (ICTs) (broad field level)' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='Engineering, manufacturing and construction' | fill=00000000 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='Agriculture, forestry, fisheries and veterinary' | fill=00000000 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='Health and welfare (broad field level)' | fill=00000000 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='Services (broad field level)' | fill=00000000 | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Reference area' | fill=FFFFFF00 | rows=[10] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell B12 | value='Time period: 2021' | fill=FFB7DEF6 | rows=[11] | cols=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] | col_header=False | row_header=False | metadata=False
Cell B13 | value='Labour force status: Population > Labour force > Unemployment' | fill=FFB7DEF6 | rows=[12] | cols=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] | col_header=False | row_header=False | metadata=False
Cell B14 | value='Australia' | fill=FFE2F2FB | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D14 | value='1.63756060600281' | fill=00000000 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='4.9796199798584' | fill=00000000 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='3.05037069320679' | fill=00000000 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='3.70434999465942' | fill=00000000 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='4.42823028564453' | fill=00000000 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
