=== education-table19.xlsx ===
Cell A2 | value='Number and percentage of public school students retained, by race/ethnicity, disability status, and English proficiency, by gender and grade: School Year 2011-12' | fill=FF00B0F0 | rows=[1] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25] | col_header=False | row_header=False | metadata=True
Cell A4 | value='Grade' | fill=FFFFFF00 | rows=[3, 4, 5] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B4 | value='Gender' | fill=FFFFFF00 | rows=[3, 4, 5] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C4 | value='Total Students' | fill=00000000 | rows=[3, 4] | cols=[2, 3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='Race/Ethnicity' | fill=00000000 | rows=[3] | cols=[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17] | col_header=False | row_header=False | metadata=False
Cell S4 | value='Students With Disabilities Served Under IDEA' | fill=00000000 | rows=[3, 4] | cols=[18, 19] | col_header=False | row_header=False | metadata=False
Cell U4 | value='Students With Disabilities Served Only Under Section 504' | fill=00000000 | rows=[3, 4] | cols=[20, 21] | col_header=False | row_header=False | metadata=False
Cell W4 | value='English Language Learners' | fill=00000000 | rows=[3, 4] | cols=[22, 23] | col_header=False | row_header=False | metadata=False
Cell Y4 | value='Number of Schools' | fill=FFFFFF00 | rows=[3, 4, 5] | cols=[24] | col_header=True | row_header=False | metadata=False
Cell Z4 | value='Percent of Schools Reporting' | fill=FFFFFF00 | rows=[3, 4, 5] | cols=[25] | col_header=True | row_header=False | metadata=False
Cell E5 | value='American Indian or
Alaska Native' | fill=00000000 | rows=[4] | cols=[4, 5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='Asian' | fill=00000000 | rows=[4] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='Hispanic or Latino of any race' | fill=00000000 | rows=[4] | cols=[8, 9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='Black or African American' | fill=00000000 | rows=[4] | cols=[10, 11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='White' | fill=00000000 | rows=[4] | cols=[12, 13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='Native Hawaiian or Other Pacific Islander' | fill=00000000 | rows=[4] | cols=[14, 15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='Two or more races' | fill=00000000 | rows=[4] | cols=[16, 17] | col_header=False | row_header=False | metadata=False
Cell C6 | value='Number' | fill=FFFFFF00 | rows=[5] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D6 | value='Percent' | fill=FFFFFF00 | rows=[5] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E6 | value='Number' | fill=FFFFFF00 | rows=[5] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F6 | value='Percent' | fill=FFFFFF00 | rows=[5] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G6 | value='Number' | fill=FFFFFF00 | rows=[5] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H6 | value='Percent' | fill=FFFFFF00 | rows=[5] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I6 | value='Number' | fill=FFFFFF00 | rows=[5] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J6 | value='Percent' | fill=FFFFFF00 | rows=[5] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K6 | value='Number' | fill=FFFFFF00 | rows=[5] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L6 | value='Percent' | fill=FFFFFF00 | rows=[5] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M6 | value='Number' | fill=FFFFFF00 | rows=[5] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N6 | value='Percent' | fill=FFFFFF00 | rows=[5] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O6 | value='Number' | fill=FFFFFF00 | rows=[5] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P6 | value='Percent' | fill=FFFFFF00 | rows=[5] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q6 | value='Number' | fill=FFFFFF00 | rows=[5] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R6 | value='Percent' | fill=FFFFFF00 | rows=[5] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S6 | value='Number' | fill=FFFFFF00 | rows=[5] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T6 | value='Percent' | fill=FFFFFF00 | rows=[5] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U6 | value='Number' | fill=FFFFFF00 | rows=[5] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell V6 | value='Percent' | fill=FFFFFF00 | rows=[5] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell W6 | value='Number' | fill=FFFFFF00 | rows=[5] | cols=[22] | col_header=True | row_header=False | metadata=False
Cell X6 | value='Percent' | fill=FFFFFF00 | rows=[5] | cols=[23] | col_header=True | row_header=False | metadata=False
Cell A7 | value='Kindergarten' | fill=00000000 | rows=[6, 7, 8] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='Male' | fill=None | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='7984' | fill=None | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='62.4823916105807' | fill=None | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='93' | fill=None | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='0.727813429331664' | fill=None | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='468' | fill=None | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='3.6625449992174' | fill=None | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='4240' | fill=None | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='33.1820316168414' | fill=None | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='436' | fill=None | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='3.41211457192049' | fill=None | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='2410' | fill=None | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='18.860541555799' | fill=None | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='42' | fill=None | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='0.328689935827203' | fill=None | rows=[6] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='295' | fill=None | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='2.30865550164345' | fill=None | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S7 | value='1017' | fill=None | rows=[6] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T7 | value='7.95899201753013' | fill=None | rows=[6] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U7 | value='62' | fill=None | rows=[6] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V7 | value='0.485208952887776' | fill=None | rows=[6] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W7 | value='2717' | fill=None | rows=[6] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X7 | value='21.2631084676788' | fill=None | rows=[6] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y7 | value='5931' | fill=None | rows=[6] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z7 | value='99.9662788737144' | fill=None | rows=[6] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Female' | fill=00000000 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='4794' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='37.5176083894193' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='60' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='0.469557051181719' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='221' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='1.72953513851933' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='2726' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='21.3335420253561' | fill=00000000 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='298' | fill=00000000 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='2.33213335420254' | fill=00000000 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='1314' | fill=00000000 | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='10.2832994208796' | fill=00000000 | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='26' | fill=00000000 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='0.203474722178745' | fill=00000000 | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='149' | fill=00000000 | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='1.16606667710127' | fill=00000000 | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
