=== environment-table04.xlsx ===
Cell B1 | value='Mineral and Energy Resources' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B2 | value='Reference area: Canada' | fill=FF00B0F0 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B3 | value='Frequency of observation: Annual' | fill=FF00B0F0 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B4 | value='Class: Commercially recoverable resources' | fill=FF00B0F0 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B6 | value='Time period' | fill=FF00B050 | rows=[5] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D6 | value='2012' | fill=FF0549AB | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='2013' | fill=FF0549AB | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='2014' | fill=FF0549AB | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='2015' | fill=FF0549AB | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='2016' | fill=FF0549AB | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='2017' | fill=FF0549AB | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='2018' | fill=FF0549AB | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='2019' | fill=FF0549AB | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='2020' | fill=FF0549AB | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='2021' | fill=FF0549AB | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell B7 | value='Stocks and flows' | fill=FFFFFF00 | rows=[6] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell B8 | value='Resource: Crude oil' | fill=FFB7DEF6 | rows=[7] | cols=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Combined unit of measure: Barrels, Billions' | fill=FFB7DEF6 | rows=[8] | cols=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] | col_header=False | row_header=False | metadata=False
Cell B10 | value='Opening stock' | fill=00000000 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D10 | value='3.746210836' | fill=00000000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='3.79275543' | fill=00000000 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='3.942452908' | fill=00000000 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='3.770741095' | fill=00000000 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='4.015414704' | fill=00000000 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='4.079570766' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='4.228639263' | fill=00000000 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='4.853217396' | fill=00000000 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='4.632445065' | fill=00000000 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='4.643766723' | fill=00000000 | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Total additions to stock' | fill=00000000 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D11 | value='0.525199135' | fill=00000000 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='0.65414024' | fill=00000000 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='0.339020759' | fill=00000000 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='0.705716682' | fill=00000000 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='0.498152952' | fill=00000000 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='0.591871121' | fill=00000000 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='1.089395092' | fill=00000000 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='0.255366286' | fill=00000000 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='0.449721415' | fill=00000000 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='0.445947529' | fill=00000000 | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell B12 | value='·  Upward reappraisals' | fill=00000000 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D12 | value='0.525199135' | fill=00000000 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='0.65414024' | fill=00000000 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='0.339020759' | fill=00000000 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
