=== environment-table14.xlsx ===
Cell A1 | value='June 2008 Agricultural and Horticultural Survey - England' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell A2 | value='E-Mail enquiries here' | fill=FF00B0F0 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A4 | value='Region & County/Unitary Authority' | fill=FFFFFF00 | rows=[3] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B4 | value='SHEEP' | fill=00000000 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell Z4 | value='POULTRY3' | fill=00000000 | rows=[3] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Ewes' | fill=46 | rows=[4] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='Other Breeding Sheep' | fill=46 | rows=[4] | cols=[4, 5, 6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='Total Breeding Ewes' | fill=46 | rows=[4] | cols=[7, 8, 9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='Rams' | fill=46 | rows=[4] | cols=[10, 11, 12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='Other sheep over 1yr' | fill=46 | rows=[4] | cols=[13, 14, 15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='Total Sheep over 1yr' | fill=46 | rows=[4] | cols=[16, 17, 18] | col_header=False | row_header=False | metadata=False
Cell T5 | value='Lambs under 1yr' | fill=46 | rows=[4] | cols=[19, 20, 21] | col_header=False | row_header=False | metadata=False
Cell W5 | value='Total Sheep' | fill=46 | rows=[4] | cols=[22, 23, 24] | col_header=False | row_header=False | metadata=False
Cell Z5 | value='Growing Pullets' | fill=52 | rows=[4] | cols=[25, 26, 27] | col_header=False | row_header=False | metadata=False
Cell AC5 | value='Birds in the Laying Flock' | fill=52 | rows=[4] | cols=[28, 29, 30] | col_header=False | row_header=False | metadata=False
Cell AF5 | value='Total Layers' | fill=52 | rows=[4] | cols=[31, 32, 33] | col_header=False | row_header=False | metadata=False
Cell AI5 | value='Layer Breeders' | fill=52 | rows=[4] | cols=[34, 35, 36] | col_header=False | row_header=False | metadata=False
Cell AL5 | value='Broiler Breeders' | fill=52 | rows=[4] | cols=[37, 38, 39] | col_header=False | row_header=False | metadata=False
Cell AO5 | value='Cocks & Cockerels' | fill=52 | rows=[4] | cols=[40, 41, 42] | col_header=False | row_header=False | metadata=False
Cell AR5 | value='Total Breeding Fowls' | fill=52 | rows=[4] | cols=[43, 44, 45] | col_header=False | row_header=False | metadata=False
Cell AU5 | value='Broilers (table chicken)' | fill=52 | rows=[4] | cols=[46, 47, 48] | col_header=False | row_header=False | metadata=False
Cell AX5 | value='Total Fowls' | fill=52 | rows=[4] | cols=[49, 50, 51] | col_header=False | row_header=False | metadata=False
Cell BA5 | value='Ducks' | fill=52 | rows=[4] | cols=[52, 53, 54] | col_header=False | row_header=False | metadata=False
Cell BD5 | value='Geese' | fill=52 | rows=[4] | cols=[55, 56, 57] | col_header=False | row_header=False | metadata=False
Cell BG5 | value='Turkeys' | fill=52 | rows=[4] | cols=[58, 59, 60] | col_header=False | row_header=False | metadata=False
Cell BJ5 | value='All Other Birds' | fill=52 | rows=[4] | cols=[61, 62, 63] | col_header=False | row_header=False | metadata=False
Cell BM5 | value='Total Poultry' | fill=52 | rows=[4] | cols=[64, 65, 66] | col_header=False | row_header=False | metadata=False
Cell C6 | value='number of livestock' | fill=FFFFFF00 | rows=[5] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell F6 | value='number of livestock' | fill=FFFFFF00 | rows=[5] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell I6 | value='number of livestock' | fill=FFFFFF00 | rows=[5] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell L6 | value='number of livestock' | fill=FFFFFF00 | rows=[5] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell O6 | value='number of livestock' | fill=FFFFFF00 | rows=[5] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell R6 | value='number of livestock' | fill=FFFFFF00 | rows=[5] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell U6 | value='number of livestock' | fill=FFFFFF00 | rows=[5] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell X6 | value='number of livestock' | fill=FFFFFF00 | rows=[5] | cols=[23] | col_header=True | row_header=False | metadata=False
Cell AA6 | value='number of livestock' | fill=FFFFFF00 | rows=[5] | cols=[26] | col_header=True | row_header=False | metadata=False
Cell AD6 | value='number of livestock' | fill=FFFFFF00 | rows=[5] | cols=[29] | col_header=True | row_header=False | metadata=False
Cell AG6 | value='number of livestock' | fill=FFFFFF00 | rows=[5] | cols=[32] | col_header=True | row_header=False | metadata=False
