=== environment-table25.xlsx ===
Cell A1 | value='Table 9 Scientific procedures (toxicology) by species of animal and toxicological purpose, page 1 of 4' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell J1 | value='Table 9 Scientific procedures (toxicology) by species of animal and toxicological purpose, page 3 of 4' | fill=FF00B0F0 | rows=[0] | cols=[9] | col_header=False | row_header=False | metadata=True
Cell A4 | value='Great Britain 2011' | fill=00000000 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell I4 | value='Number of procedures' | fill=FFFFFF00 | rows=[3] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J4 | value='Great Britain 2011' | fill=00000000 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell T4 | value='Number of procedures' | fill=FFFFFF00 | rows=[3] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell A5 | value='Species of animal' | fill=FFFFFF00 | rows=[4] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B5 | value='Toxicology or other safety/efficacy evaluation' | fill=FFFFFF00 | rows=[4] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell J5 | value='Species of animal' | fill=FFFFFF00 | rows=[4] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K5 | value='Toxicology or other safety/efficacy evaluation' | fill=FFFFFF00 | rows=[4] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell T5 | value='Total' | fill=00000000 | rows=[4] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell B6 | value='General safety/efficacy evaluation' | fill=00000000 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell K6 | value='Pharmaceutical safety/efficacy evaluation' | fill=00000000 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell O6 | value='Other purposes' | fill=00000000 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell B7 | value='Pollution' | fill=43 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='Agriculture' | fill=43 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='Industry' | fill=43 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='Household' | fill=43 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='Food additives' | fill=43 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='Other foodstuffs' | fill=43 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='Finished cosmetics(2)' | fill=43 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='Cosmetics ingredients(2)' | fill=43 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K7 | value='Safety testing' | fill=43 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='Efficacy testing' | fill=43 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='Quality control' | fill=43 | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='ADME and residue' | fill=43 | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='Toxicology research' | fill=43 | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='Tobacco safety(1)' | fill=43 | rows=[6] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='Medical  device safety' | fill=43 | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='Method development' | fill=43 | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S7 | value='Other' | fill=43 | rows=[6] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Mammal' | fill=00000000 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell J8 | value='Mammal' | fill=00000000 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A9 | value='Mouse' | fill=47 | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B9 | value='1165' | fill=47 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='5789' | fill=47 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='5364' | fill=47 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='0' | fill=47 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='-' | fill=47 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='3628' | fill=47 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='-' | fill=47 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='-' | fill=47 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='Mouse' | fill=47 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
