=== environment-table37.xlsx ===
Cell B1 | value='Proximate/Ultimate' | fill=FFFFFF00 | rows=[0] | cols=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell L1 | value='Coal Size (Mesh)' | fill=FFFFFF00 | rows=[0] | cols=[11, 12, 13, 14, 15] | col_header=True | row_header=False | metadata=False
Cell B2 | value='Moisture (%)' | fill=FFFFFF00 | rows=[1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='Volatiles (%)' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='Fixed Carbon (%)' | fill=FFFFFF00 | rows=[1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E2 | value='Ash (%)' | fill=FFFFFF00 | rows=[1] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F2 | value='Sulfur (%)' | fill=FFFFFF00 | rows=[1] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='Carbon (%)' | fill=FFFFFF00 | rows=[1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='Hydrogen (%)' | fill=FFFFFF00 | rows=[1] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='Nitrogen (%)' | fill=FFFFFF00 | rows=[1] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J2 | value='Oxygen (%)' | fill=FFFFFF00 | rows=[1] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K2 | value='HHV, BTU/lb' | fill=FFFFFF00 | rows=[1] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L2 | value='>30, %' | fill=00000000 | rows=[1] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M2 | value='30 x 50, %' | fill=00000000 | rows=[1] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N2 | value='50 x 100, %' | fill=00000000 | rows=[1] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O2 | value='100 x 200, %' | fill=00000000 | rows=[1] | cols=[14] | col_header=False | row_header=False | metadata=False
